Condition,Rarity,Typical Minimum Age,Typical Maximum Age,Gender,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,,,,,,,,,,
Gynecomastia,Common,10,80,male,Enlargement of breast tissue in males,breast tenderness,nipple discharge.,,,,,,,,,,,,,,,,,,,,,,
H. Influenzae Meningitis,Rare,0,100,both,Fever,headache,stiff neck,nausea,vomiting,confusion,Sensitivity to light (photophobia),,,,,,,,,,,,,,,,,,
H. Pylori Gastrointestinal Tract Infection,Common,0,100,both,Abdominal Pain,bloating,nausea,vomiting,indigestion,loss of appetite,Weight loss,,,,,,,,,,,,,,,,,,
Haemophilus Endocarditis,Very rare,20,70,both,Fever,fatigue,weakness,shortness of breath,chest pain,heart murmur.,,,,,,,,,,,,,,,,,,,
Haemophilus Influenzae Acute Otitis Media,Rare,0,5,both,Ear pain,fever,fluid drainage from the ear,difficulty hearing,irritability (in infants).,,,,,,,,,,,,,,,,,,,,
Haemophilus Influenzae Bronchitis,Rare,0,100,both,Coughing,chest discomfort,shortness of breath,fatigue,Fever,,,,,,,,,,,,,,,,,,,,
Haemophilus Influenzae Chronic Bronchitis,Rare,0,100,both,Coughing up mucus,chest discomfort,Shortness of breath,,,,,,,,,,,,,,,,,,,,,,
Haemophilus Influenzae Lung Abscess,Rare,0,100,both,Coughing,chest pain,difficulty breathing,fever,chills,coughing up blood,coughing up mucus,,,,,,,,,,,,,,,,,,
Haemophilus Influenzae Pharyngitis,Rare,0,100,both,Sore throat,difficulty swallowing,fever,swollen lymph nodes in the neck,,,,,,,,,,,,,,,,,,,,,
Haemophilus Influenzae Pneumonia,Common,0,100,both,Coughing,chest pain,fever,difficulty breathing,rapid breathing,Fatigue,,,,,,,,,,,,,,,,,,,
Haemophilus Influenzae Type B Infection,Very rare,0,5,both,Varies depending on the site of infection; may include fever,chills,headache,nausea,vomiting,joint pain,stiff neck,Confusion,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haemophilus Osteomyelitis,Rare,0,100,both,Bone pain,swelling,warmth,redness,fever,limited range of motion.,,,,,,,,,,,,,,,,,,,
Haemophilus Parahaemolyticus Pneumonia,Rare,0,100,both,Coughing,chest pain,fever,difficulty breathing,rapid breathing,Fatigue,,,,,,,,,,,,,,,,,,,
Haemophilus Parainfluenza Pneumonia,Rare,0,100,both,Coughing,chest pain,fever,difficulty breathing,rapid breathing,Fatigue,,,,,,,,,,,,,,,,,,,
Haemophilus Parainfluenzae Acute Otitis Media,Rare,0,5,both,Ear pain,fever,fluid drainage from the ear,difficulty hearing,irritability (in infants).,,,,,,,,,,,,,,,,,,,,
Haemophilus Parainfluenzae Bronchitis,Rare,0,100,both,Coughing,chest discomfort,shortness of breath,fatigue,Fever,,,,,,,,,,,,,,,,,,,,
Haemophilus Parainfluenzae Chronic Bronchitis,Rare,0,100,both,Coughing up mucus,chest discomfort,Shortness of breath,,,,,,,,,,,,,,,,,,,,,,
Haemophilus Septic Arthritis,Rare,20,70,both,Joint pain,swelling,warmth,redness,limited range of motion,Fever,,,,,,,,,,,,,,,,,,,
Haemophilus Septicemia,Rare,0,100,both,Fever,chills,rapid breathing,rapid heartbeat,confusion,nausea,vomiting,Diarrhea,,,,,,,,,,,,,,,,,
Hairy Cell Leukemia,Rare,40,80,both,Fatigue,weakness,enlarged spleen,easy bruising,recurring infections.,Easy bleeding,,,,,,,,,,,,,,,,,,,
Headache Disorder,Common,0,100,both,Head pain or pressure,throbbing sensation,Sensitivity to light (photophobia),nausea,vomiting,Sensitivity to sound,,,,,,,,,,,,,,,,,,,
Heart Failure Associated With Type 2 Diabetes Mellitus,Common,40,80,both,Shortness of breath,fatigue,swelling in the legs,rapid heartbeat,weight gain,increased urination.,,,,,,,,,,,,,,,,,,,
Heart Failure With Reduced Ejection Fraction,Common,40,80,both,Shortness of breath,fatigue,weakness,swelling in the legs,rapid heartbeat.,,,,,,,,,,,,,,,,,,,,
Heart Failure With Reduced Ejection Fraction Due To Dilated Cardiomyopathy,Uncommon,40,80,both,Shortness of breath,fatigue,weakness,swelling in the legs,rapid heartbeat,Coughing,difficulty breathing when lying down.,,,,,,,,,,,,,,,,,,
Heartburn,Common,0,100,both,Burning sensation in the chest or throat,acid regurgitation,difficulty swallowing,chest pain,bloating,burping.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excessive menstrual bleeding Associated With Uterine Leiomyoma,Common,20,50,female,Heavy or prolonged menstrual periods,pelvic pain or pressure,frequent urination,constipation,back or leg pain.,,,,,,,,,,,,,,,,,,,,
Helicobacter Pylori Gastritis,Common,0,100,both,Abdominal Pain,bloating,nausea,vomiting,loss of appetite,Weight loss,,,,,,,,,,,,,,,,,,,
Hemangiomata Of Infancy,Rare,0,2,both,Red or purple skin lesions,rapid growth,swelling,bruising,bleeding,pain.,,,,,,,,,,,,,,,,,,,
Hematopoietic Syndrome Of Acute Radiation Syndrome,Very rare,0,100,both,Nausea,vomiting,diarrhea,fever,weakness,fatigue,hair loss,skin burns.,,,,,,,,,,,,,,,,,
Hemolytic Anemia Due To Pyruvate Kinase Deficiency,Rare,0,100,both,Fatigue,Pallor,Shortness of breath,Yellowing of the skin and eyes (jaundice),Enlarged spleen,Gallstones,,,,,,,,,,,,,,,,,,,
Hemophagocytic Lymphohistiocytosis,Rare,0,100,both,Fever,Enlarged liver,Cytopenias,Liver dysfunction,Neurological symptoms,Enlarged spleen,,,,,,,,,,,,,,,,,,,
Hemophilia A,Common,0,100,both,Prolonged bleeding,Excessive bruising,Joint pain,Blood in urine or stool,Nosebleeds,Excessive menstrual bleeding,swelling,,,,,,,,,,,,,,,,,,
Hemophilia B,Common,0,100,both,Prolonged bleeding,Excessive bruising,Joint pain,Blood in urine or stool,Nosebleeds,Excessive menstrual bleeding,swelling,,,,,,,,,,,,,,,,,,
Hemorrhagic Disease Of Newborn Due To Vitamin K Deficiency,Rare,100,,both,Excessive bruising,Oozing from umbilical cord,Bleeding from the gums,Blood in urine or stool,Intracranial bleeding,Nosebleeds,,,,,,,,,,,,,,,,,,,
Hemorrhaging In Hemophilia,Rare,0,100,both,Prolonged bleeding,Excessive bruising,Bleeding into muscles and joints,Blood in urine or stool,Intracranial bleeding,,,,,,,,,,,,,,,,,,,,
Hemorrhoids,Common,20,80,both,Rectal bleeding,Itching or irritation around the anal area,Pain or discomfort,Swelling around the anus,A lump near the anus,,,,,,,,,,,,,,,,,,,,
Heparin Toxicity,Rare,0,100,both,Bleeding tendencies,Bruising,Blood in urine,Abdominal Pain,Nausea,Vomiting,Blood in stool,,,,,,,,,,,,,,,,,,
Hepatic Blood Flow Clearance Study,Uncommon,0,100,both,This is a procedure rather than a disease,so symptoms wouldn't be applicable.,,,,,,,,,,,,,,,,,,,,,,,
Hepatic Cirrhosis,Common,30,70,both,Fatigue,Weakness,Excessive bruising,Yellowing of the skin and eyes (jaundice),Swelling in the legs or abdomen,Confusion,,,,,,,,,,,,,,,,,,,
Hepatic Coma,Rare,0,100,both,Confusion,Drowsiness,Slurred speech,Agitation,Coma,Breath with a musty or sweet odor,,,,,,,,,,,,,,,,,,,
Hepatic Encephalopathy,Uncommon,0,100,both,Confusion,Disorientation,Personality changes,Difficulty sleeping,Tremors,Slurred speech,,,,,,,,,,,,,,,,,,,
"Hepatic Veno,Occlusive Disease",Rare,0,100,both,Abdominal Pain,Enlarged liver,Ascites,Yellowing of the skin and eyes (jaundice),Weight gain due to fluid retention,,,,,,,,,,,,,,,,,,,,
Hepatitis A Vaccination,Common,0,100,both,This is a preventive measure,not a disease,so symptoms aren't applicable.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis B Vaccination,Common,0,100,both,This is a preventive measure,not a disease,so symptoms aren't applicable.,,,,,,,,,,,,,,,,,,,,,,
Hepatorenal Syndrome,Rare,20,80,both,Decreased urine output,Swelling in legs and abdomen,Confusion,Yellowing of the skin and eyes (jaundice),Nausea,Vomiting,,,,,,,,,,,,,,,,,,,
"Her2,Mutant Non,Small Cell Lung Cancer",Very rare,40,80,both,Coughing,Shortness of breath,Chest pain,Fatigue,Weight loss,Bone pain,,,,,,,,,,,,,,,,,,,
"Her2,Negative Gastric Or Gastroesophageal Junction Adenocarcinoma",Common,40,80,both,Difficulty swallowing,Abdominal Pain,Indigestion,Heartburn,Weight loss,Vomiting blood,,,,,,,,,,,,,,,,,,,
"Her2,Positive Adenocarcinoma Of Gastroesophageal Junction",Rare,40,80,both,Difficulty swallowing,Abdominal Pain,Indigestion,Heartburn,Weight loss,Vomiting blood,,,,,,,,,,,,,,,,,,,
"Her2,Positive Carcinoma Of Breast",Common,30,70,female,Breast lump or thickening,Change in breast size or shape,Nipple changes or discharge,Skin changes on the breast,Breast pain,,,,,,,,,,,,,,,,,,,,
"Her2,Positive Gastric Adenocarcinoma",Common,40,80,both,Difficulty swallowing,Abdominal Pain,Indigestion,Heartburn,Weight loss,Vomiting blood,,,,,,,,,,,,,,,,,,,
Hereditary Angioedema,Rare,0,100,both,Swelling of the face,Swelling of the lips,Swelling of the tongue,Swelling of the throat,Abdominal cramping,Nausea,Difficulty breathing,Rash,Vomiting,Hives,,,,,,,,,,,,,,,
Hereditary Coproporphyria,Rare,0,100,both,Abdominal Pain,Constipation,Nausea,Vomiting,Muscle pain or weakness,Confusion,Diarrhea,Hallucinations,,,,,,,,,,,,,,,,,
Hereditary Factor Vii Deficiency Disease,Rare,0,100,both,Excessive bleeding,Excessive bruising,Nosebleeds,Excessive menstrual bleeding,Bleeding gums,Blood in urine or stool,,,,,,,,,,,,,,,,,,,
Hereditary Factor X Deficiency Disease,Rare,0,100,both,Excessive bleeding,Excessive bruising,Nosebleeds,Excessive menstrual bleeding,Bleeding gums,Blood in urine or stool,,,,,,,,,,,,,,,,,,,
Hereditary Factor Xiii A Subunit Deficiency,Rare,0,100,both,Excessive bruising,Excessive bleeding,Delayed wound healing,Recurrent miscarriages,Intracranial hemorrhage,,,,,,,,,,,,,,,,,,,,
Hereditary Factor Xiii Deficiency Disease,Rare,0,100,both,Excessive bruising,Excessive bleeding,Delayed wound healing,Recurrent miscarriages,Intracranial hemorrhage,,,,,,,,,,,,,,,,,,,,
"Hereditary Orotic Aciduria, Type I",Rare,0,100,both,Failure to thrive,Megaloblastic anemia,Developmental delay,Enlarged liver,Elevated levels of orotic acid in urine,Enlarged spleen,,,,,,,,,,,,,,,,,,,
Hereditary Tyrosinemia Type I,Rare,0,100,both,Failure to thrive,Liver failure,Kidney problems,Peripheral neuropathy,Enlarged liver,"Cabbage,like odor of the breath",Enlarged spleen,,,,,,,,,,,,,,,,,,
Herniated Lumbar Disc,Common,20,60,both,Back pain,Leg pain,Numbness or tingling in the legs or feet,Muscle weakness,Pain that worsens with certain movements or activities,,,,,,,,,,,,,,,,,,,,
Herpes Labialis,Common,0,100,both,Tingling or burning sensation around the lips or mouth,Swelling,Redness,Blisters,Itching,,,,,,,,,,,,,,,,,,,,
Herpes Simplex Dendritic Keratitis,Rare,0,100,both,Eye pain,Redness and tearing,Sensitivity to light (photophobia),Blurred vision,Foreign body sensation in the eye,,,,,,,,,,,,,,,,,,,,
Herpes Simplex Encephalitis,Rare,0,100,both,Fever,Headache,Confusion,Seizures,Weakness,Difficulty speaking or understanding speech,,,,,,,,,,,,,,,,,,,
Herpes Simplex Hepatitis,Rare,0,100,both,Fever,Abdominal Pain,Yellowing of the skin and eyes (jaundice),Nausea,Vomiting,Enlarged liver,,,,,,,,,,,,,,,,,,,
Herpes Simplex Infection,Common,0,100,both,Tingling,itching,or burning sensation before the appearance of blisters,Painful blisters or sores on the genitals,buttocks,or mouth,Fever,Swollen lymph nodes,Fatigue,,,,,,,,,,,,,,,,
Herpes Simplex Keratitis,Rare,0,100,both,Eye pain,Redness and tearing,Sensitivity to light (photophobia),Blurred vision,Foreign body sensation in the eye,,,,,,,,,,,,,,,,,,,,
Herpes Simplex Keratoconjunctivitis,Rare,0,100,both,Eye pain,Redness,Tearing,Sensitivity to light (photophobia),Blurred vision,Discharge,,,,,,,,,,,,,,,,,,,
Herpes Zoster,Common,0,100,both,Painful rash with blisters,Itching,Tingling,Fever,Headache,Fatigue,,,,,,,,,,,,,,,,,,,
Herpes Zoster Hepatitis,Rare,0,100,both,Fever,Abdominal Pain,Yellowing of the skin and eyes (jaundice),Nausea,Vomiting,Enlarged liver,,,,,,,,,,,,,,,,,,,
Herpes Zoster Keratitis,Rare,0,100,both,Eye pain,Redness and tearing,Sensitivity to light (photophobia),Blurred vision,Foreign body sensation in the eye,,,,,,,,,,,,,,,,,,,,
Herpes Zoster Ophthalmicus,Rare,0,100,both,Eye pain,Redness,Tearing,Sensitivity to light (photophobia),Blurred vision,Rash or blisters on the forehead,nose,or around the eye,,,,,,,,,,,,,,,,,
Heterotopic Ossification,Rare,0,100,both,Formation of abnormal bone in soft tissue,Decreased range of motion,Pain and swelling in the affected area,,,,,,,,,,,,,,,,,,,,,,
Heterozygous Familial Hypercholesterolemia,Rare,20,80,both,High levels of cholesterol in blood,Xanthomas (fatty deposits under the skin),Arcus senilis (whitish ring around the cornea),Chest pain,,,,,,,,,,,,,,,,,,,,,
Hiatal Hernia With Reflux Esophagitis,Common,20,80,both,Heartburn,Chest pain,Difficulty swallowing,Acid reflux,Regurgitation of food,Coughing,Regurgitation of sour liquid,,,,,,,,,,,,,,,,,,
Hidradenitis Suppurativa,Rare,20,50,both,Painful,"pea,sized lumps under the skin","Pus,filled lesions or abscesses","Tunnel,like tracts in the skin",Scarring,,,,,,,,,,,,,,,,,,,,
High Density Lipoprotein Deficiency,Rare,0,100,both,High cholesterol levels,Increased risk of heart disease,Xanthomas (fatty deposits under the skin),Early onset of atherosclerosis,Chest pain,,,,,,,,,,,,,,,,,,,,
High Grade Dysplasia Associated With Barrett's Esophagus,Rare,40,80,both,Difficulty swallowing,Chest pain,Heartburn,Coughing,Weight loss,Blood in vomit,Blood in stool,,,,,,,,,,,,,,,,,,
High Output Ileostomy,Rare,0,100,both,Frequent,watery output from ileostomy,Dehydration,Electrolyte imbalances,Malnutrition,Skin irritation around the stoma,,,,,,,,,,,,,,,,,,,
"High,Risk Neuroblastoma",Rare,0,18,both,Abdominal Pain,Swelling in the abdomen,Fatigue,Weight loss,Fever,Bone pain,,,,,,,,,,,,,,,,,,,
"High,Risk Neuroblastoma In Bone Or Bone Marrow",Rare,0,18,both,Bone pain,Fatigue,Easy bruising,Anemia,Swelling or lumps in the abdomen,Easy bleeding,,,,,,,,,,,,,,,,,,,
Hip Surgery Deep Vein Thrombosis Prevention,Uncommon,40,80,both,Swelling,Pain,Redness or discoloration,Warmth,Tenderness,Difficulty walking,,,,,,,,,,,,,,,,,,,
Hirsutism,Common,20,60,female,Excessive hair growth on face,chest,back,or other areas of the body where men typically grow hair,Oily skin,Acne,Deepening of the voice,Irregular menstrual periods,Enlargement of the clitoris,,,,,,,,,,,,,,,,
Histiocytic Neoplasm,Rare,0,100,both,Swelling or mass,Fever,Fatigue,Weight loss,Night sweats,Pain,Yellowing of the skin and eyes (jaundice),,,,,,,,,,,,,,,,,,
Histoplasmosis,Uncommon,0,100,both,Fever,Coughing,Fatigue,Chills,Headache,Muscle aches,Chest pain,,,,,,,,,,,,,,,,,,
Hiv Infection,Common,0,100,both,Fever,Fatigue,Swollen lymph nodes,Sore throat,Rash,Muscle aches,Joint pain,,,,,,,,,,,,,,,,,,
"Hiv Infection Pre,Exposure Prophylaxis",Common,0,100,both,This is a preventive measure,not a disease,so symptoms aren't applicable.,,,,,,,,,,,,,,,,,,,,,,
Hodgkin's Lymphoma,Common,15,40,both,Painless swelling of lymph nodes in the neck,armpits,or groin,Fatigue,Fever,Night sweats,Weight loss,Itchy skin,,,,,,,,,,,,,,,,,
Homocystinuria,Rare,0,100,both,Tall and thin build,Long limbs,Chest deformities (pectus excavatum or pectus carinatum),Eye problems such as nearsightedness or dislocation of the lens,Osteoporosis,Cognitive impairment,,,,,,,,,,,,,,,,,,,
Homocystinuria Type I,Rare,0,100,both,Tall and thin build,Long limbs,Chest deformities (pectus excavatum or pectus carinatum),Eye problems such as nearsightedness or dislocation of the lens,Osteoporosis,Cognitive impairment,,,,,,,,,,,,,,,,,,,
Homocystinuria Type Iii,Rare,0,100,both,Vascular problems,including blood clots,Stroke,Heart attack,Visual problems,Skeletal abnormalities,Intellectual disability,,,,,,,,,,,,,,,,,,
Homozygous Familial Hypercholesterolemia,Rare,0,100,both,High levels of cholesterol in blood,Xanthomas (fatty deposits under the skin),Arcus senilis (whitish ring around the cornea),Chest pain,,,,,,,,,,,,,,,,,,,,,
Horizontal Forehead Lines,Common,30,70,both,Horizontal lines across the forehead,Wrinkles or creases in the skin caused by aging or facial expressions,,,,,,,,,,,,,,,,,,,,,,,
"Hormone Receptor (Hr),Positive, Her2,Negative Advanced Breast Cancer",Common,30,70,female,Breast lump or thickening,Change in breast size or shape,Nipple changes or discharge,Skin changes on the breast,Breast pain,,,,,,,,,,,,,,,,,,,,
"Hormone Receptor (Hr),Positive, Her2,Negative Advanced Female Breast Cancer",Common,30,70,female,Breast lump or thickening,Change in breast size or shape,Nipple changes or discharge,Skin changes on the breast,Breast pain,,,,,,,,,,,,,,,,,,,,
"Hormone Receptor (Hr),Positive, Her2,Negative Advanced Male Breast Cancer",Very rare,30,70,male,Breast lump or thickening,Change in breast size or shape,Nipple changes or discharge,Skin changes on the breast,Breast pain,,,,,,,,,,,,,,,,,,,,
"Hormone Receptor (Hr),Positive, Her2,Negative Early,Stage Breast Cancer",Rare,30,70,female,Breast lump or thickening,Change in breast size or shape,Nipple changes or discharge,Skin changes on the breast,Breast pain,,,,,,,,,,,,,,,,,,,,
"Hormone Receptor (Hr),Positive, Her2,Negative, Pik3ca Mutated Advanced Breast Cancer",Rare,30,70,female,Breast lump or thickening,Change in breast size or shape,Nipple changes or discharge,Skin changes on the breast,Breast pain,,,,,,,,,,,,,,,,,,,,
Hormone Receptor Positive Breast Cancer,Common,0,100,both,Breast lump or thickening,Change in breast size or shape,Nipple changes or discharge,Skin changes on the breast,Breast pain,,,,,,,,,,,,,,,,,,,,
Hormone Receptor Positive Postmenopausal Advanced Breast Cancer,Common,50,80,female,Breast lump or thickening,Change in breast size or shape,Nipple changes or discharge,Skin changes on the breast,Breast pain,,,,,,,,,,,,,,,,,,,,
Hormone Receptor Positive Postmenopausal Early Breast Cancer After Adjuvant Tamoxifen,Common,50,80,female,Breast lump or thickening,Change in breast size or shape,Nipple changes or discharge,Skin changes on the breast,Breast pain,,,,,,,,,,,,,,,,,,,,
"Hormone Receptor Positive, Her2,Positive Metastatic Breast Cancer",Rare,30,70,female,Breast lump or thickening,Change in breast size or shape,Nipple changes or discharge,Skin changes on the breast,Breast pain,,,,,,,,,,,,,,,,,,,,
Human Bite Wound,Uncommon,0,100,both,Pain,Swelling,Redness,Bruising,Bleeding,Infection,,,,,,,,,,,,,,,,,,,
Humoral Hypercalcemia Of Malignancy,Rare,0,100,both,Nausea,Vomiting,Constipation,Fatigue,Confusion,Dehydration,,,,,,,,,,,,,,,,,,,
"Hutchinson,Gilford Progeria Syndrome",Rare,0,20,both,Growth failure,Loss of body fat and hair,Wrinkled skin,Atherosclerosis,Joint stiffness,,,,,,,,,,,,,,,,,,,,
Hymenolepiasis Infection,Rare,0,100,both,Abdominal Pain,Diarrhea,Nausea,Vomiting,Weight loss,Anal itching,,,,,,,,,,,,,,,,,,,
"Hyper,Igd Periodic Fever Syndrome",Rare,0,20,both,Recurrent episodes of fever,Abdominal Pain,Joint pain,Rash,Headache,Diarrhea,,,,,,,,,,,,,,,,,,,
Hyperammonemia,Common,0,100,both,Confusion,Fatigue,Nausea,Vomiting,Tremors,Seizures,,,,,,,,,,,,,,,,,,,
"Hyperammonemia Associated With N,Acetylglutamate Synthase Deficiency",Very rare,0,100,both,Confusion,Fatigue,Nausea,Vomiting,Tremors,Seizures,,,,,,,,,,,,,,,,,,,
Hyperammonemia Due To Methylmalonic Acidemia,Very rare,0,100,both,Poor feeding,Vomiting,Lethargy,Irritability,Developmental delay,Seizures,,,,,,,,,,,,,,,,,,,
Hyperammonemia Due To Propionic Acidemia,Very rare,0,100,both,Poor feeding,Vomiting,Lethargy,Irritability,Developmental delay,Seizures,,,,,,,,,,,,,,,,,,,
Hyperbilirubinemia,Common,0,100,both,Yellowing of the skin and eyes (jaundice),"Dark,colored urine",Pale colored stools,Itchy skin,Abdominal Pain,Nausea,,,,,,,,,,,,,,,,,,,
Hyperbilirubinemia Due To Hemolytic Disease Of Newborn,Rare,0,1,both,Yellowing of the skin and eyes (jaundice),Pale colored stools,Dark urine,Poor feeding,Lethargy,Irritability,,,,,,,,,,,,,,,,,,,
Hypercalcemia,Common,0,100,both,Excessive thirst,Frequent urination,Constipation,Nausea,Vomiting,Abdominal Pain,Weakness,Fatigue,,,,,,,,,,,,,,,,,
Hypercalcemia Associated With Sarcoidosis,Rare,0,100,both,Fatigue,Weakness,Joint pain,Shortness of breath,Dry cough,Fever,Night sweats,Weight loss,,,,,,,,,,,,,,,,,
Hypercalcemia Due To Primary Hyperparathyroidism,Rare,30,70,both,Fatigue,Weakness,Bone pain,Joint pain,Frequent urination,Kidney stones,Abdominal Pain,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypercholesterolemia,Common,0,100,both,Xanthomas (fatty deposits under the skin),Arcus senilis (whitish ring around the cornea),Chest pain,Fatigue,Shortness of breath,Nausea,Vomiting,,,,,,,,,,,,,,,,,,
Hypercortisolism,Rare,20,60,both,Weight gain,especially around the abdomen,Fatigue,Muscle weakness,High blood pressure,Mood swings,Irregular menstrual periods,Increased thirst and urination,,,,,,,,,,,,,,,,,
Hypereosinophilic Syndrome,Rare,0,100,both,Fatigue,Weakness,Shortness of breath,Coughing,Fever,Weight loss,Rash,,,,,,,,,,,,,,,,,,
"Hyperfibrinolysis,Induced Hemorrhage",Very rare,0,100,both,Excessive bleeding,Excessive bruising,Prolonged bleeding,Gastrointestinal bleeding,Blood in urine,Intracranial bleeding,,,,,,,,,,,,,,,,,,,
Hyperglycemia,Common,0,100,both,Increased thirst,Frequent urination,Fatigue,Nausea,Vomiting,Blurred vision,"Slow,healing wounds",,,,,,,,,,,,,,,,,,
Hyperhidrosis,Common,0,100,both,Excessive sweating,particularly in specific areas like the palms,soles,or underarms,Clammy or wet skin,Skin infections,Social anxiety or embarrassment due to sweating,,,,,,,,,,,,,,,,,,
Hyperinsulinism,Rare,0,100,both,Hypoglycemia (low blood sugar),Shakiness or trembling,Sweating,Palpitations,Hunger,Irritability,Confusion,,,,,,,,,,,,,,,,,,
Hyperkalemia,Common,0,100,both,Weakness,Fatigue,Nausea,Palpitations,Chest pain,Muscle cramps or weakness,Abdominal cramping,,,,,,,,,,,,,,,,,,
Hyperkeratosis,Common,0,100,both,Thickened,rough,scaly skin,Dry patches,Calluses or corns,Itching,Discoloration of the skin,,,,,,,,,,,,,,,,,,
Hyperlipidemia,Common,0,100,both,Xanthomas (fatty deposits under the skin),Arcus senilis (whitish ring around the cornea),Chest pain,Fatigue,Shortness of breath,Nausea,Vomiting,,,,,,,,,,,,,,,,,,
Hypermagnesemia,Rare,0,100,both,Nausea,Vomiting,Flushing,Weakness,Lethargy,Difficulty breathing,Irregular heartbeat,Low blood pressure,Cardiac arrest,,,,,,,,,,,,,,,,
Hyperoxaluria,Rare,0,100,both,Kidney stones,Abdominal Pain,Painful urination,Blood in urine,Frequent urinary tract infections,,,,,,,,,,,,,,,,,,,,
Hyperparathyroidism Secondary To Chronic Renal Failure,Uncommon,50,80,both,Bone pain,Joint pain,Muscle weakness,Fatigue,Abdominal Pain,Nausea,Vomiting,,,,,,,,,,,,,,,,,,
Hyperparathyroidism Secondary To Chronic Renal Failure With Dialysis,Uncommon,50,80,both,Bone pain,Joint pain,Muscle weakness,Fatigue,Abdominal Pain,Nausea,Vomiting,,,,,,,,,,,,,,,,,,
Hyperprolactinemia,Common,20,50,both,Irregular menstrual periods,Milky discharge from nipples (galactorrhea),Infertility,Erectile dysfunction,Decreased libido,Breast tenderness or enlargement,,,,,,,,,,,,,,,,,,,
Hypersensitivity Drug Reaction,Common,0,100,both,Rash,Itching,Hives,Swelling,Fever,Shortness of breath,Wheezing,Anaphylaxis,,,,,,,,,,,,,,,,,
Hypersensitivity Pneumonitis,Rare,0,100,both,Shortness of breath,Coughing,Fever,Chills,Fatigue,Chest tightness,Loss of appetite,Weight loss,,,,,,,,,,,,,,,,,
Hypertension,Common,0,100,both,Headache,Dizziness,Blurred vision,Shortness of breath,Chest pain,Fatigue,Irregular heartbeat,,,,,,,,,,,,,,,,,,
Hypertension Due To Scleroderma,Rare,30,70,both,Raynaud's phenomenon (fingers or toes turning white or blue in response to cold or stress),Skin thickening or tightening,Joint pain,Gastroesophageal reflux disease (GERD),Difficulty swallowing,,,,,,,,,,,,,,,,,,,,
Hypertension With Left Ventricular Hypertrophy,Uncommon,30,70,both,Headache,Dizziness,Blurred vision,Shortness of breath,Chest pain,Fatigue,Irregular heartbeat,,,,,,,,,,,,,,,,,,
Hypertensive Crisis,Rare,0,100,both,Severe headache,Severe anxiety,Shortness of breath,Nosebleeds,Severe chest pain,Severe anxiety,Blurred vision,,,,,,,,,,,,,,,,,,
Hyperthyroidism,Common,20,80,both,Weight loss,Rapid heartbeat,Irregular heartbeat,Increased appetite,Nervousness,Tremors,Sweating,Fatigue,,,,,,,,,,,,,,,,,
Hypertriglyceridemia,Common,0,100,both,Abdominal Pain,Nausea,Vomiting,Pancreatitis,Xanthomas (fatty deposits under the skin),Enlarged liver,,,,,,,,,,,,,,,,,,,
Hypertrophic Cardiomyopathy,Common,20,60,both,Shortness of breath,Chest pain,Heart palpitations,Dizziness,Fainting,Fatigue,,,,,,,,,,,,,,,,,,,
Hypertrophic Obstructive Cardiomyopathy,Uncommon,20,60,both,Shortness of breath,Chest pain,Heart palpitations,Dizziness,Fainting,Fatigue,,,,,,,,,,,,,,,,,,,
Hyperuricemia,Common,0,100,both,Joint pain,Swelling,Redness,Warmth,Limited range of motion,Kidney stones,Fatigue,,,,,,,,,,,,,,,,,,
Hyperuricemia Due To Cancer Therapy,Rare,0,100,both,Joint pain,Swelling,Redness,Warmth,Limited range of motion,Kidney stones,Fatigue,,,,,,,,,,,,,,,,,,
Hypoalbuminemia,Common,0,100,both,Swelling (edema),Fatigue,Weakness,Shortness of breath,Weight gain,Loss of appetite,,,,,,,,,,,,,,,,,,,
Hypocalcemia,Common,0,100,both,Numbness or tingling in fingers and toes,Muscle cramps,Twitching,Seizures,Tetany (muscle spasms),,,,,,,,,,,,,,,,,,,,
Hypocalcemia Associated With Hypoparathyroidism,Uncommon,0,100,both,Numbness or tingling in fingers and toes,Muscle cramps,Twitching,Seizures,Tetany (muscle spasms),,,,,,,,,,,,,,,,,,,,
"Hypocalcemia From End,Stage Renal Disease With Dialysis",Uncommon,0,100,both,Numbness or tingling in fingers and toes,Muscle cramps,Twitching,Seizures,Tetany (muscle spasms),,,,,,,,,,,,,,,,,,,,
Hypocalcemia Prevention,Uncommon,0,100,both,Ensuring adequate dietary intake of calcium and vitamin D,Avoiding excessive intake of phosphorus,Maintaining proper hydration,Avoiding excessive alcohol consumption,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
